,original_idx,db_id,query,question,HAVING,ORDER BY,GROUP BY,JOIN,SELECT,WHERE,query_token_num,question_token_num
0,11,department_management,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,How many departments are led by heads who are not mentioned?,0,0,0,0,2,1,12,11
1,13,department_management,SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,0,0,0,4,2,2,54,18
2,14,department_management,"SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1","Which department has more than 1 head at a time? List the id, name and the number of heads.",1,0,1,1,1,0,23,19
3,36,farm,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",Show the official names of the cities that have hosted more than one competition.,1,0,1,1,1,0,22,14
4,37,farm,"SELECT T1.Official_Name
FROM city AS T1
JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID
GROUP BY T1.Official_Name, T2.Host_city_ID
HAVING COUNT(*) > 1;",What are the official names of cities that have hosted more than one competition?,1,0,1,1,1,0,22,14
5,81,student_assessment,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;",How many registed students do each course have? List course name and the number of their registered students?,0,0,1,2,1,0,26,18
6,82,student_assessment,"SELECT T3.course_name, count(T1.student_id) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T3.course_name;","For each course id, how many students are registered and what are the course names?",0,0,1,2,1,0,26,15
7,285,twitter_1,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T1.name  HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),"Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift"".",1,0,1,2,2,1,39,20
8,429,flight_1,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',Show names for all employees who do not have certificate of Boeing 737-800.,0,0,0,2,2,1,32,13
9,430,flight_1,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',What are the names of all employees who are not certified to fly Boeing 737-800s?,0,0,0,2,2,1,32,15
10,437,flight_1,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,What is the salary and name of the employee who has the most number of certificates on aircrafts with distance more than 5000?,0,1,1,2,1,1,35,23
11,438,flight_1,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,What is the salaray and name of the employee with the most certificates to fly planes more than 5000?,0,1,1,2,1,1,35,19
12,519,allergy_1,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')",Find the last name and age of the student who has allergy to both milk and cat.,0,0,0,0,3,3,25,17
13,520,allergy_1,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')",What are the last names and ages of the students who are allergic to milk and cat?,0,0,0,0,3,3,25,17
14,523,allergy_1,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')",Find the first name and gender of the student who has allergy to milk but not cat.,0,0,0,0,3,3,25,17
15,524,allergy_1,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')",What are the first name and gender of the students who have allergy to milk but can put up with cats?,0,0,0,0,3,3,25,21
16,525,allergy_1,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),Find the average age of the students who have allergies with food and animal types.,0,0,0,2,3,3,45,15
17,526,allergy_1,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),How old are the students with allergies to food and animal types on average?,0,0,0,2,3,3,45,14
18,913,insurance_fnol,SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id JOIN available_policies AS t3 ON t2.policy_id  =  t3.policy_id WHERE t1.customer_name  =  (SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.customer_name ORDER BY count(*) DESC LIMIT 1),What are all the policy types of the customer that has the most policies listed?,0,1,1,3,2,1,49,15
19,969,medicine_enzyme_interaction,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'",Show the medicine names and trade names that cannot interact with the enzyme with product 'Heme'.,0,0,0,2,2,1,34,16
20,970,medicine_enzyme_interaction,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'",What are the medicine and trade names that cannot interact with the enzyme with the product 'Heme'?,0,0,0,2,2,1,34,17
21,1051,phone_1,SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Full',Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.,0,0,0,2,2,2,37,23
22,1106,match_season,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',What are the names of countries that have both players with position forward and players with position defender?,0,0,0,2,2,2,37,18
23,1107,match_season,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',"Return the names of countries that have players that play the Forward position, as well as players who play the Defender position.",0,0,0,2,2,2,37,22
24,1271,apartment_rentals,SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Confirmed' INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Provisional',"Which apartments have bookings with both status codes ""Provisional"" and ""Confirmed""? Give me the apartment numbers.",0,0,0,2,2,2,37,16
25,1272,apartment_rentals,"SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  false  
INTERSECT 
SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  true",Show the apartment numbers of apartments with unit status availability of both 0 and 1.,0,0,0,2,2,2,37,15
26,1282,game_injury,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1",What are the id and name of the stadium where the most injury accidents happened?,0,1,1,2,1,0,32,15
27,1283,game_injury,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1",Find the id and name of the stadium where the largest number of injury accidents occurred.,0,1,1,2,1,0,32,16
28,1288,game_injury,SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Walter Samuel' INTERSECT SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Thiago Motta',List the name of the stadium where both the player 'Walter Samuel' and the player 'Thiago Motta' got injured.,0,0,0,4,2,2,55,19
29,1454,college_2,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name",Find the total number of students and total number of instructors for each department.,0,0,1,2,1,0,29,14
30,1455,college_2,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name",How many students and instructors are in each department?,0,0,1,2,1,0,29,9
31,1621,customers_and_invoices,"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name",Show all product names and the number of customers having an order on each product.,0,0,1,2,1,0,26,15
32,1646,wedding,SELECT T4.name FROM wedding AS T1 JOIN people AS T2 ON T1.male_id  =  T2.people_id JOIN people AS T3 ON T1.female_id  =  T3.people_id JOIN church AS T4 ON T4.church_id  =  T1.church_id WHERE T2.age  >  30 OR T3.age  >  30,Show the church names for the weddings of all people older than 30.,0,0,0,3,1,1,38,13
33,1674,theme_gallery,"SELECT T1.theme ,  T2.name FROM exhibition AS T1 JOIN artist AS T2 ON T1.artist_id  =  T2.artist_id WHERE T1.ticket_price  >  (SELECT avg(ticket_price) FROM exhibition)",Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,0,0,0,1,2,1,22,19
34,1687,theme_gallery,SELECT T3.name FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id JOIN artist AS T3 ON T3.artist_id  =  T2.artist_id GROUP BY T3.artist_id HAVING avg(T1.attendance)  >  200,Show all artist names with an average exhibition attendance over 200.,1,0,1,2,1,0,29,11
35,1703,epinions_1,"SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
WHERE T2.rank  >  3 
INTERSECT 
SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
GROUP BY T1.title 
HAVING avg(T2.rating)  >  5",Find the names of items whose rank is higher than 3 and whose average rating is above 5.,1,0,1,2,2,1,40,18
36,1792,small_bank_1,SELECT T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM checking) INTERSECT SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  <  (SELECT avg(balance) FROM savings),"Find the names of accounts whose checking balance is above the average checking balance, but savings balance is below the average savings balance.",0,0,0,2,4,2,43,23
37,1794,small_bank_1,SELECT T2.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T1.name IN (SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM savings)),Find the checking balance of the accounts whose savings balance is higher than the average savings balance.,0,0,0,2,3,2,38,17
38,1800,small_bank_1,"SELECT T1.name ,  T2.balance + T3.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid WHERE T3.balance  >  (SELECT avg(balance) FROM savings)",Find the names and total checking and savings balances of accounts whose savings balance is higher than the average savings balance.,0,0,0,2,2,1,32,21
39,1818,small_bank_1,"SELECT T2.balance ,  T3.balance ,  T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid JOIN savings AS T3 ON T1.custid  =  T3.custid ORDER BY T2.balance + T3.balance DESC","Find the name, checking balance and savings balance of all accounts in the bank sorted by their total checking and savings balance in descending order.",0,1,0,2,1,0,30,25
40,1839,browser_web,SELECT T3.name FROM web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T2.accelerator_id  =  T1.id JOIN browser AS T3 ON T2.browser_id  =  T3.id WHERE T1.name  =  'CACHEbox' INTERSECT SELECT T3.name FROM web_client_accelerator AS T1 JOIN accelerator_compatible_browser AS T2 ON T2.accelerator_id  =  T1.id JOIN browser AS T3 ON T2.browser_id  =  T3.id WHERE T1.name  =  'Fasterfox',List the names of the browser that are compatible with both 'CACHEbox' and 'Fasterfox'.,0,0,0,4,2,2,53,14
41,1906,school_finance,SELECT T2.school_name FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id JOIN endowment AS T3 ON T2.school_id  =  T3.school_id GROUP BY T2.school_name HAVING sum(T1.budgeted)  >  100 OR sum(T3.amount)  >  10,Show the names of schools with a total budget amount greater than 100 or a total endowment greater than 10.,1,0,1,2,1,0,33,20
42,1908,school_finance,SELECT count(*) FROM (SELECT school_id FROM endowment WHERE amount  >  8.5 GROUP BY school_id HAVING count(*)  >  1) as T,Find the number of schools that have more than one donator whose donation amount is less than 8.5.,1,0,1,0,2,1,20,18
43,1914,protein_institute,SELECT count(*) FROM building WHERE height_feet  >  (SELECT avg(height_feet) FROM building) OR floors  >  (SELECT avg(floors) FROM building),Show the number of buildings with a height above the average or a number of floors above the average.,0,0,0,0,3,1,18,19
44,1991,phone_market,SELECT T2.Name FROM phone_market AS T1 JOIN phone AS T2 ON T1.Phone_ID  =  T2.Phone_ID GROUP BY T2.Name HAVING sum(T1.Num_of_stock)  >=  2000 ORDER BY sum(T1.Num_of_stock) DESC,"Show the names of phones that have total number of stocks bigger than 2000, in descending order of the total number of stocks.",1,1,1,1,1,0,25,23
45,2073,party_people,SELECT member_name FROM member EXCEPT SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id,Show all member names who are not in charge of any event.,0,0,0,1,2,0,19,12
46,2129,cre_Doc_Control_Systems,"SELECT Employees.employee_name, count(*)
FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id 
GROUP BY Employees.employee_name, Circulation_History.draft_number , Circulation_History.copy_number
ORDER BY count(*) 
DESC LIMIT 1;",Which employee has showed up in most circulation history documents. List the employee's name and the number of drafts and copies.,0,1,1,1,1,0,22,21
47,2147,local_govt_in_alabama,"SELECT T3.service_id ,  T4.Service_Type_Code 
FROM participants AS T1 
JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID 
JOIN EVENTS AS T3 ON T2.Event_ID   =  T3.Event_ID 
JOIN services AS T4 ON T3.service_id  =  T4.service_id 
GROUP BY T3.service_id, T4.Service_Type_Code  
ORDER BY count(*) ASC LIMIT 1",Which service id and type has the least number of participants?,0,1,1,3,1,0,41,11
48,2334,csu_1,SELECT campus FROM campuses WHERE LOCATION  =  'Northridge' AND county  =  'Los Angeles' UNION SELECT campus FROM campuses WHERE LOCATION  =  'San Francisco' AND county  =  'San Francisco',"Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco.",0,0,0,0,2,2,28,18
49,2360,csu_1,SELECT T1.campus FROM campuses AS T1 JOIN faculty AS T2 ON T1.id  =  T2.campus WHERE T2.year  =  2002 AND faculty  >  (SELECT max(faculty) FROM campuses AS T1 JOIN faculty AS T2 ON T1.id  =  T2.campus WHERE T2.year  =  2002 AND T1.county  =  'Orange'),Find the names of the campus which has more faculties in 2002 than every campus in Orange county.,0,0,0,2,2,2,43,18
50,2470,movie_1,"SELECT T2.title ,  T2.director FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID WHERE T1.stars  >  (SELECT avg(T1.stars) FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID WHERE T2.director  =  'James Cameron')",What are the titles and directors of the movies whose star is greater than the average stars of the movies directed by James Cameron?,0,0,0,2,2,2,37,24
51,2514,movie_1,"SELECT mID ,  avg(stars) FROM Rating WHERE mID NOT IN (SELECT T1.mID FROM Rating AS T1 JOIN Reviewer AS T2 ON T1.rID  =  T2.rID WHERE T2.name  =  'Brittany Harris') GROUP BY mID",Find the average rating star for each movie that are not reviewed by Brittany Harris.,0,0,1,1,2,2,31,15
52,2554,county_public_safety,SELECT name FROM city WHERE county_ID  =  (SELECT county_ID FROM county_public_safety ORDER BY Police_officers DESC LIMIT 1),Show the name of cities in the county that has the largest number of police officers.,0,1,0,0,2,1,17,16
53,2647,local_govt_mdm,"SELECT T1.cmi_cross_ref_id ,  T1.source_system_code FROM CMI_Cross_References AS T1 JOIN Council_Tax AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id GROUP BY T1.cmi_cross_ref_id HAVING count(*)  >=  1",What is the cmi cross reference id that is related to at least one council tax entry? List the cross reference id and source system code.,1,0,1,1,1,0,22,26
54,2648,local_govt_mdm,"SELECT T2.cmi_cross_ref_id ,  T2.master_customer_id ,  count(*) FROM Business_Rates AS T1 JOIN CMI_Cross_References AS T2 ON T1.cmi_cross_ref_id  =  T2.cmi_cross_ref_id GROUP BY T2.cmi_cross_ref_id","How many business rates are related to each cmi cross reference? List cross reference id, master customer id and the n",0,0,1,1,1,0,19,21
55,2704,storm_record,"SELECT sum(number_deaths) ,  sum(damage_millions_USD) FROM storm WHERE max_speed  >  (SELECT avg(max_speed) FROM storm)",What is the total number of deaths and damage for all storms with a max speed greater than the average?,0,0,0,0,2,1,12,20
56,2720,storm_record,SELECT T1.name FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id HAVING count(*)  >=  2 INTERSECT SELECT T1.name FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id HAVING sum(T2.number_city_affected)  >=  10,Show storm name with at least two regions and 10 cities affected.,2,0,2,2,2,0,43,12
57,2722,storm_record,SELECT name FROM storm EXCEPT SELECT T1.name FROM storm AS T1 JOIN affected_region AS T2 ON T1.storm_id  =  T2.storm_id GROUP BY T1.storm_id HAVING count(*)  >=  2,Show all storm names except for those with at least two affected regions.,1,0,1,1,2,0,26,13
58,2732,storm_record,SELECT T3.Name FROM affected_region AS T1 JOIN region AS T2 ON T1.region_id  =  T2.region_id JOIN storm AS T3 ON T1.storm_id  =  T3.storm_id WHERE T2.Region_name  =  'Afghanistan' INTERSECT SELECT T3.Name FROM affected_region AS T1 JOIN region AS T2 ON T1.region_id  =  T2.region_id JOIN storm AS T3 ON T1.storm_id  =  T3.storm_id WHERE T2.Region_name  =  'Albania',Find the name of the storm that affected both Afghanistan and Albania regions.,0,0,0,4,2,2,53,13
59,2810,news_report,SELECT Nationality FROM journalist WHERE Years_working  >  10 INTERSECT SELECT Nationality FROM journalist WHERE Years_working  <  3,Show the nations that have both journalists with more than 10 years of working and journalists with less than 3 years of working.,0,0,0,0,2,2,17,23
60,2814,news_report,"SELECT T3.Name ,  COUNT(*) FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID  =  T2.Event_ID JOIN journalist AS T3 ON T1.journalist_ID  =  T3.journalist_ID GROUP BY T3.Name",Show the names of journalists and the number of events they reported.,0,0,1,2,1,0,26,12
61,2815,news_report,SELECT T3.Name FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID  =  T2.Event_ID JOIN journalist AS T3 ON T1.journalist_ID  =  T3.journalist_ID GROUP BY T3.Name HAVING COUNT(*)  >  1,Show the names of journalists that have reported more than one event.,1,0,1,2,1,0,29,12
62,2839,restaurant_1,SELECT TIME FROM Student JOIN Visits_Restaurant ON Student.StuID = Visits_Restaurant.StuID JOIN Restaurant ON Visits_Restaurant.ResID = Restaurant.ResID WHERE Student.Fname = 'Linda' AND Student.Lname = 'Smith' AND Restaurant.ResName = 'Subway';,When did Linda Smith visit Subway?,0,0,0,2,1,1,28,6
63,2840,restaurant_1,"SELECT Restaurant.ResName ,  sum(Visits_Restaurant.Spent) FROM Visits_Restaurant JOIN Restaurant ON Visits_Restaurant.ResID = Restaurant.ResID GROUP BY Restaurant.ResID ORDER BY sum(Visits_Restaurant.Spent) ASC LIMIT 1;",At which restaurant did the students spend the least amount of time? List restaurant and the time students spent on in total.,0,1,1,1,1,0,20,22
64,2894,icfp_1,SELECT t3.title FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid JOIN inst AS t4 ON t2.instid  =  t4.instid WHERE t4.country  =  'USA' AND t2.authorder  =  2 AND t1.lname  =  'Turon',"Which paper is published in an institution in ""USA"" and have ""Turon"" as its second author?",0,0,0,3,1,1,42,16
65,2898,icfp_1,"SELECT t1.lname FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid GROUP BY t1.fname ,  t1.lname ORDER BY count(*) DESC LIMIT 1",What is the last name of the author that has published the most papers?,0,1,1,2,1,0,32,14
66,2910,icfp_1,SELECT t1.lname FROM authors AS t1 JOIN authorship AS t2 ON t1.authid  =  t2.authid JOIN papers AS t3 ON t2.paperid  =  t3.paperid WHERE t3.title LIKE '%Monadic%',"Find the last names of all the authors that have written a paper with title containing the word ""Monadic"".",0,0,0,2,1,1,26,19
67,3064,loan_1,"SELECT T1.cust_name ,  T1.acc_type 
FROM customer AS T1 JOIN loan AS T2 ON T1.cust_id  =  T2.cust_id 
GROUP BY T1.cust_name, T1.acc_type  
HAVING sum(T2.amount)  >  5000",Find the name and account balance of the customers who have loans with a total amount of more than 5000.,1,0,1,1,1,0,23,20
